q_num,category,text,option1,option2,option3,answer,q_chars,a_chars,tag,note
325,misc,fifth month of the year,May,April,March,May,23,3,Keep,
326,misc,a young goat is called a ___,kid,goatee,meat,kid,28,3,Keep,
327,misc,"can't spell ""slaughter"" without ___",laughter,dime,moon,laughter,35,8,Keep,
328,misc,the answer has letters,false,80075,;__;,false,22,5,Keep,
329,misc,this sentence doesn't have the letter ___,m,n,v,m,41,1,Keep,
330,misc,a computer programming language,python,snake,MnM++,python,31,6,Keep,
331,misc,you start with ___ in Arcade mode,60 seconds,45 seconds,90 seconds,60 seconds,33,10,Light edit,"concept-replace: prompt ""you start with ___ in Arcade mode"" → ""you start with ___ in Quickmatch"" (retired-mode reference; matches questions.ts:338 fix from session 11)"
332,misc,you start with ___ in Classic mode,0 points,80 seconds,6 choices,0 points,34,8,Light edit,"concept-replace: prompt ""you start with ___ in Classic mode"" → ""you start with ___ in Daily Race"" (retired-mode reference; matches questions.ts:339 fix from session 11)"
333,misc,you have ___ seconds left,less than 100,more than 300,442,less than 100,25,13,Keep,
334,misc,612 seconds is ___ minutes,10.2,11.8,10.12,10.2,26,4,Keep,
335,misc,99 minutes is ___ seconds,5940,6000,5994,5940,25,4,Keep,
336,misc,1156.3 minutes is ___ minutes,1156.3,19.27,69372,1156.3,29,6,Keep,
337,misc,this is usually round,a bowling ball,a box,a shark,a bowling ball,21,14,Keep,
338,misc,the classical smiley face,:),;>,+<:B,:),25,2,Keep,
339,misc,your dog's biological child could be ___,your puppy,your cat,your mother,your puppy,40,10,Keep,
340,misc,the answer has no letters,321895419,21341L2B3,4144A4B88,321895419,25,9,Keep,
341,misc,you can have no memory of ___,tomorrow,two weeks ago,yesterday,tomorrow,29,8,Keep,
342,misc,this question has ___ when completed,seven words,twenty five letters,sixteen syllables,seven words,36,11,Keep,
343,misc,this question doesn't have the letter ___,c,i,v,c,41,1,Keep,
344,misc,a person who plays the drums,drummer,guitarist,loser,drummer,28,7,Keep,
345,misc,you have found the secret question,correct,don't pick this,don't pick this,correct,34,7,Keep,
346,misc,this month is 30 days long,June,July,August,June,26,4,Keep,
347,misc,this question has a ___,correct answer,number in it,capital letter,correct answer,23,14,Keep,
348,misc,777 weeks is ___ days,5439,111,11,5439,21,4,Keep,
349,misc,the first letter of the first word,t,f,l,t,34,1,Keep,
350,misc,the Indian Ocean is ___,wet,in Indiana,a lake,wet,23,3,Keep,
351,word,Speaking two languages,bilingual,bicentennial,biennial,bilingual,22,9,Light edit,"capitalization: ""Speaking"" → ""speaking"" (match corpus lowercase prompt voice)"
352,word,"Make a word using  ""l, o, c, o""",cool,lock,loot,cool,31,4,Keep,
353,word,"Make a word using  ""t, a, l, e, s""",steal,later,steel,steal,34,5,Keep,
354,word,"Make a word using  ""l, i, v, e""",evil,life,vein,evil,31,4,Keep,
355,word,"Make a word using  ""s, t, e, e, r""",reset,setter,stream,reset,34,5,Keep,
356,word,"Make a word using  ""t, e, r, r, a, i, n""",trainer,narrate,retained,trainer,40,7,Keep,
357,word,"Make a word using   ""e, l, m, o""",mole,loom,mall,mole,32,4,Light edit,"whitespace: triple-space outlier ""Make a word using   \""e, l, m, o\"""" → ""make a word using \""e, l, m, o\"""" (also folds into Q352–Q386 global sweep)"
358,word,"Make a word using  ""g, a, r, d, e, n""",danger,gender,ranger,danger,37,6,Keep,
359,word,"Make a word using  ""c, a, t, e, r, e, d""",reacted,creator,crated,reacted,40,7,Keep,
360,word,"make a word using  ""r, e, d, a, c, t""",carted,catered,trapped,carted,37,6,Keep,
361,word,"make a word using  ""t, h, e, s, e""",sheet,shirts,tease,sheet,34,5,Keep,
362,word,"make a word using  ""i, t, e, m, s""",emits,timed,mints,emits,34,5,Keep,
363,word,"make a word using  ""g, r, o, w, n""",wrong,growl,nordic,wrong,34,5,Light edit,"swap distractor option3: nordic → brawl (BRAWL not buildable from g,r,o,w,n — clean fail-state distractor)"
364,word,"make a word using  ""s, e, c, r, e, t""",erects,reacts,streak,erects,37,6,Keep,
365,word,"make a word using  ""s, e, r, v, a, n, t""",taverns,ventures,serpents,taverns,40,7,Keep,
366,word,"make a word using  ""s, i, l, e, n, c, e""",license,slices,sincere,license,40,7,Keep,
367,word,"make a word using  ""l, e, t, t, e, r, s""",settler,street,shelters,settler,40,7,Keep,
368,word,"make a word using  ""s, u, p, e, r""",purse,repulse,reuse,purse,34,5,Keep,
369,word,"make a word using  ""c, h, e, a, t""",teach,techie,reach,teach,34,5,Keep,
370,word,"make a word using  ""p, i, e, c, e, s""",specie,pisces,stencil,specie,37,6,Keep,
371,word,"make a word using  ""r, e, s, i, d, e, d """,desired,derided,esquire,desired,41,7,Light edit,"typo: trailing space inside letter list option1 ""r, e, s, i, d, e, d "" → ""r, e, s, i, d, e, d"""
372,word,"make a word using  ""m, i, l, e, s""",smile,slide,davis,smile,34,5,Keep,
373,word,"make a word using  ""a, b, c, s""",cabs,bash,caps,cabs,31,4,Keep,
374,word,"make a word using  ""d, e, m, o""",mode,done,mood,mode,31,4,Keep,
375,word,"make a word using  ""s, h, o, t, g, u, n""",gunshot,showdown,nought,gunshot,40,7,Keep,
376,word,"make a word using  ""t, e, a, r, s""",stare,street,reality,stare,34,5,Keep,
377,word,"make a word using  ""m, i, r, a, c, l, e""",reclaim,circular,claimed,reclaim,40,7,Keep,
378,word,"make a word using  ""d, a, i, r, y""",diary,rivaled,dearly,diary,34,5,Keep,
379,word,"make a word using  ""a, l, o, r, s""",solar,royal,lasso,solar,34,5,Keep,
380,word,"make a word using  ""s, t, r, e, a, m, s""",masters,matters,stressed,masters,40,7,Keep,
381,word,"make a word using  ""m, a, t, t, r, e, s, s""",smartest,mastered,stardom,smartest,43,8,Keep,
382,word,"make a word using  ""s, l, i, g, h, t""",lights,tilted,guilds,lights,37,6,Keep,
383,word,"make a word using  ""r, i, d, e, r""",drier,driven,redeem,drier,34,5,Keep,
384,word,"make a word using  ""c, o, d, e, r, e, d""",decoder,recorded,cornered,decoder,40,7,Keep,
385,word,"make a word using  ""n, e, o""",one,ion,glitch,one,28,3,Keep,
386,word,"make a word using  ""e, n, t, r, a, p""",parent,pertinent,tamper,parent,37,6,Keep,
387,word,"means ""clear""",transparent,sky,invade,transparent,13,11,Keep,
388,word,"means ""far""",remote,driven,reach,remote,11,6,Keep,
389,word,"means ""guide""",lead,book,stream,lead,13,4,Keep,
390,word,"means ""start""",begin,action,fresh,begin,13,5,Keep,
391,word,"means ""chase""",pursuit,catch,grab,pursuit,13,7,Keep,
392,word,"means ""fall""",autumn,slide,under,autumn,12,6,Keep,
393,word,"means ""fire""",shoot,pain,phaser,shoot,12,5,Keep,
394,word,"means ""credible""",believable,borrowed,appropriate,believable,16,10,Keep,
395,word,"means ""fatal""",lethal,disappear,abrupt,lethal,13,6,Keep,
396,word,"means ""dull""",boring,motionless,locked,boring,12,6,Keep,
397,word,"opposite of ""enemy""",ally,defeat,virtue,ally,19,4,Keep,
398,word,"opposite of ""aware""",ignorant,open,neutral,ignorant,19,8,Keep,
399,word,"opposite of ""negative""",positive,inanimate,arguable,positive,22,8,Keep,
400,word,"opposite of ""keep""",give away,hold on,fort,give away,18,9,Keep,
401,word,"opposite of ""quiet""",noisy,nose,normal,noisy,19,5,Keep,
402,word,"opposite of ""accelerate""",decelerate,decapitate,devastate,decelerate,24,10,Keep,
403,word,one does not belong,terminator,dog,cat,terminator,19,10,Keep,
404,word,one does not belong,pear,celery,lettuce,pear,19,4,Keep,
405,word,one does not belong,grandmother,father,uncle,grandmother,19,11,Keep,
406,word,one does not belong,Michael Jackson,Justin Timberlake,Justin Bieber,Michael Jackson,19,15,Keep,
407,word,one does not belong,bacon,brussels sprout,broccoli,bacon,19,5,Light edit,"distractor capitalize: option2 ""brussels sprout"" → ""Brussels sprout"" (proper noun)"
408,word,one does not belong,jimmy page,john rambo,james bond,jimmy page,19,10,Light edit,"capitalize all 3 distractors: jimmy page/john rambo/james bond → Jimmy Page/John Rambo/James Bond (proper nouns, same as Q239 precedent)"
409,word,one does not belong,awesomeness,gluttony,wrath,awesomeness,19,11,Keep,
410,word,one does not belong,one,44,66,one,19,3,Keep,
411,word,one does not belong,ratmouse,batman,catwoman,ratmouse,19,8,Keep,
412,word,one does not belong,submarine,cruiser,destroyer,submarine,19,9,Keep,
413,word,one does not belong,it's this one,not this,not this,it's this one,19,13,Keep,
414,word,"means ""exaggeration""",overstatement,underline,point,overstatement,20,13,Keep,
415,word,"means ""amazing""",astonishing,explosive,shiny,astonishing,15,11,Keep,
416,word,"means ""fearless""",brave,scared,sneaky,brave,16,5,Keep,
417,word,"means ""stop""",halt,hammertime,slow,halt,12,4,Keep,
418,word,"means ""display""",show,flat,open,show,15,4,Keep,
419,word,"means ""scheme""",plan,play,theme,plan,14,4,Keep,
420,word,"means ""catastrophe""",calamity,punishment,corpse,calamity,19,8,Keep,
421,word,"means ""important""",significant,sound,precise,significant,17,11,Keep,
422,word,"means ""finite""",limited,inventory,endless,limited,14,7,Keep,
423,word,"means ""unique""",singular,minimal,precise,singular,14,8,Keep,
424,word,"means ""altered""",changed,punished,seen,changed,15,7,Keep,
425,word,"means ""conserve""",save,spend,speak,save,16,4,Keep,
426,word,"means ""converse""",talk,save,change,talk,16,4,Keep,
427,word,"means ""diction""",articulation,arthritis,artichoke,articulation,15,12,Keep,
428,word,"means ""fluent""",articulate,driven,artistry,articulate,14,10,Keep,
429,word,"means ""speedy""",fast,quirky,timeless,fast,14,4,Keep,
430,word,"means ""trustworthy""",reliable,relinquished,resentful,reliable,19,8,Keep,
431,word,"means ""defend""",protect,attack,trap,protect,14,7,Keep,
432,word,"means ""liberated""",free,fiery,fried,free,17,4,Keep,
433,word,"means ""useful""",beneficial,wasteful,new,beneficial,14,10,Keep,
434,word,"means ""hazardous""",dangerous,cloudy,deceased,dangerous,17,9,Keep,
435,word,"opposite of ""lifeless""",alive,quick,passive,alive,22,5,Keep,
436,word,"opposite of ""boring""",exciting,fiery,massive,exciting,20,8,Keep,
437,word,"opposite of ""hard""",easy,stiff,bare,easy,18,4,Keep,
438,word,"opposite of ""hostile""",friendly,smile,passionate,friendly,21,8,Keep,
439,word,"opposite of ""aggresive""",calm,sleepy,irritated,calm,23,4,Light edit,"typo: prompt ""aggresive"" → ""aggressive"""
440,word,"opposite of ""long""",abridged,enduring,stretching,abridged,18,8,Keep,
441,word,"opposite of ""smile""",frown,stare,sneeze,frown,19,5,Keep,
442,word,"opposite of ""rich""",poor,taxed,citizen,poor,18,4,Keep,
443,word,"opposite of ""last""",first,short,fun,first,18,5,Keep,
444,word,"opposite of ""give""",take,red pill,now,take,18,4,Light edit,"distractor swap: option2 ""red pill"" → ""me"" (red pill has gained political/manosphere meaning since 2012)"
445,word,"opposite of ""accept""",refuse,hold,included,refuse,20,6,Keep,
446,word,"opposite of ""always""",never,random,limitless,never,20,5,Keep,
447,word,"opposite of ""calm""",excited,bounced,elevator,excited,18,7,Keep,
448,word,"opposite of ""find""",lose,feel,drop,lose,18,4,Keep,
449,word,"opposite of ""maximum""",minimum,optimum,uber,minimum,21,7,Keep,
450,word,second line of a haiku has ___,7 syllables,13 syllables,5 syllables,7 syllables,30,11,Keep,
451,word,a constructed international language,esperanto,kebasish,chicat,esperanto,36,9,Light edit,"capitalize answer: ""esperanto"" → ""Esperanto"" (language name)"
452,word,first line of a haiku has ___,5 syllables,10 syllables,7 syllables,5 syllables,29,11,Keep,
453,word,"rhymes with ""crime""",prime,scream,figure,prime,19,5,Keep,
454,word,"rhymes with ""faster""",master,care,nostril,master,20,6,Keep,
455,word,"rhymes with ""blue""",glue,flee,fruit,glue,18,4,Keep,
456,word,"rhymes with ""awesome""",possum,cushion,dreamer,possum,21,6,Keep,
457,word,"rhymes with ""read""",feed,creep,steep,feed,18,4,Keep,
458,word,"rhymes with ""fruit""",suit,seed,salt,suit,19,4,Keep,
459,word,"rhymes with ""claim""",blame,charm,smile,blame,19,5,Keep,
460,word,"rhymes with ""bliss""",kiss,fist,stressed,kiss,19,4,Keep,
461,word,"rhymes with ""face""",space,boss,moose,space,18,5,Keep,
462,word,"rhymes with ""chair""",stare,fail,brains,stare,19,5,Keep,
463,word,"rhymes with ""style""",while,crime,kanye,while,19,5,Light edit,"distractor swap: option3 ""kanye"" → ""brake"" (avoid Kanye reference)"
464,word,"rhymes with ""grace""",trace,fries,ella,trace,19,5,Light edit,"capitalize distractor: option3 ""ella"" → ""Ella"" (proper noun, Ella Fitzgerald)"
465,word,"rhymes with ""smarts""",hearts,maces,nerds,hearts,20,6,Keep,
466,word,"rhymes with ""prime""",crime,line,pristine,crime,19,5,Light edit,"distractor swap: option2 ""line"" → ""lemon"" (cleaner non-rhyme distractor; line was a half-rhyme)"
467,word,"rhymes with ""rap""",tap,slack,snoop,tap,17,3,Light edit,"distractor swap: option3 ""snoop"" → ""kendrick"" (lowercase per CD voice call)"
468,word,"contains the letters ""r, t, m""",rhythm,trapped,realm,rhythm,30,6,Keep,
469,word,"contains the letters ""b, r, v""",beverage,brain,revered,beverage,30,8,Keep,
470,word,"contains the letters ""i, s, d""",disdain,significant,delightful,disdain,30,7,Keep,
471,word,"contains the letters ""u, a, n""",annual,underline,unwind,annual,30,6,Keep,
472,word,"contains the letters ""i, r, c""",crime,record,creepy,crime,30,5,Keep,
473,word,"contains the letters ""t, e, a""",reality,esteem,artistic,reality,30,7,Keep,
474,word,"contains the letters ""m, l, n""",lemon,smile,linear,lemon,30,5,Keep,
475,word,"contains the letters ""d, r, e""",eradicate,excruciating,delighted,eradicate,30,9,Keep,
476,word,"contains the letters ""y, i, n""",rainy,frankly,nyan,rainy,30,5,Keep,
477,word,"contains the letters ""b, u, t""",tub,tap,bun,tub,30,3,Keep,
478,word,"contains the letters ""g, r, n""",wrong,gone,ripping,wrong,30,5,Light edit,"distractor swap: option3 ""ripping"" → ""carbon"" (RIPPING also contained g/r/n — bug; CARBON has r/n/no g)"
479,word,"contains the letters ""t, r, l""",retail,troy,light,retail,30,6,Keep,
480,word,"contains the letters ""l, s, r""",resale,retain,sorry,resale,30,6,Keep,
481,word,"contains the letters ""t, i, f""",fifty,three,fine,fifty,30,5,Keep,
482,word,"contains the letters ""m, n, g""",gaming,ginger,menace,gaming,30,6,Keep,
483,word,"contains the letters ""m, t, r""",terminate,remembered,ricochet,terminate,30,9,Keep,
484,word,"contains the letters ""l, f, n""",nullify,fitness,laughter,nullify,30,7,Keep,
485,word,a word with no vowels,rhythm,slight,trouble,rhythm,21,6,Keep,
486,word,a word with one vowel,wrong,fear,anguish,wrong,21,5,Keep,
487,word,a word with two vowels,fire,cut,spiteful,fire,22,4,Keep,
488,word,a one syllable word,strength,fearless,charger,strength,19,8,Keep,
489,word,a two syllable word,limit,fight,cat,limit,19,5,Keep,
490,word,"contraction of ""you are""",you're,your,yogurt,you're,24,6,Keep,
491,word,"contraction of ""there is""",there's,theirs,theresa,there's,25,7,Keep,
492,word,"plural of ""you""",you,they,we,you,15,3,Keep,
493,word,"plural of ""sheep""",sheep,sheeps,herd,sheep,17,5,Keep,
494,word,"plural of ""plurality""",pluralities,plutorallies,plurals,pluralities,21,11,Keep,
495,word,"plural of ""ball""",balls,ballies,balles,balls,16,5,Keep,
496,word,"plural of ""goose""",geese,gooses,gooster,geese,17,5,Keep,
497,word,"singular of ""mice""",mouse,moose,mices,mouse,18,5,Keep,
498,word,"singular of ""dice""",die,douse,dices,die,18,3,Keep,
499,word,"the letter missing from ""foregn""",i,h,y,i,32,1,Keep,
500,word,"the letter missing from ""stret""",e,r,n,e,31,1,Keep,
501,word,a young goat is called a ___,kid,boy,goatee,kid,28,3,Light edit,"concept-replace: prompt ""a young goat is called a ___"" → ""a group of goats is called a ___""; options herd/bulls/block; answer herd (Q326 already covered ""young goat"" with funnier ""meat"" distractor — rewrite to test groups instead of individuals)"
502,word,a group of crows is called a ___,murder,massacre,nightmare,murder,32,6,Keep,
503,word,a female deer is called a ___,doe,jane,dear,doe,29,3,Keep,
504,word,a male llama is called a ___,llama,spitter,nazgul,llama,28,5,Keep,
505,word,a male moose is called a ___,bull,cow,mouse,bull,28,4,Keep,
506,word,"contains the letters ""t, i, l""",application,subliminal,promotion,application,30,11,Keep,
507,word,"contains the letters ""c, d, i""",idyllic,candle,decompose,idyllic,30,7,Keep,
508,word,"contains the letters ""e, w, a""",whatever,whoever,wherever,whatever,30,8,Keep,
509,word,"make a word using  ""l, e, a, d, e, r""",dealer,ladder,realtor,dealer,37,6,Keep,
510,word,"make a word using  ""l, i, s, t, e, n""",silent,thistle,simple,silent,37,6,Keep,
511,word,"make a word using  ""a, d, m, i, r, e, r""",married,dreamer,mirrored,married,40,7,Keep,
512,word,"make a word using  ""m, a, s, t, e, r""",stream,steer,stared,stream,37,6,Keep,
513,word,"make a word using  ""s, t, e, a, l""",least,stare,later,least,34,5,Keep,
514,word,"make a word using  ""s, h, a, p, e""",phase,haters,heals,phase,34,5,Keep,
515,word,"rhymes with ""diner""",minor,mordor,figured,minor,19,5,Keep,
516,word,"make a word using  ""c, i, r, c, l, e""",cleric,critical,circus,cleric,37,6,Keep,
517,word,"means ""hidden""",concealed,displayed,apart,concealed,14,9,Keep,
518,word,"means ""help""",assist,cry,push,assist,12,6,Keep,
519,word,"means ""similar""",akin,exact,mirror,akin,15,4,Keep,
520,word,"means ""stable""",firm,ground,peaceful,firm,14,4,Keep,
521,word,"means ""immortal""",deathless,highlander,strong,deathless,16,9,Keep,
522,word,a palindrome,rotator,delivered,detected,rotator,12,7,Keep,
523,word,a palindrome,now I won,name the man,is this it,now I won,12,9,Keep,
524,word,a palindrome,evil olive,do not nod,smart kids,evil olive,12,10,Keep,
525,word,a palindrome,my gym,technologic,seven stars,my gym,12,6,Keep,
526,music,king of pop,Michael Jackson,Madonna,Lady Gaga,Michael Jackson,11,15,Keep,
527,music,king of rock and roll,Elvis Presley,Nickelback,Rihanna,Elvis Presley,21,13,Keep,
528,music,"he composed ""The Four Seasons""",A. Vivaldi,W. Mozart,Dr. Dre,A. Vivaldi,30,10,Keep,
529,music,an 80s hit song,Take On Me,Kill The Batboy,Halftime,Take On Me,15,10,Keep,
530,music,an 80s hit song,Under Pressure,Under Ice,Under Fire,Under Pressure,15,14,Keep,
531,music,a 70s hit song,Dancing Queen,Dancing Mice,Dancing Heat,Dancing Queen,14,13,Keep,
532,music,a 70s hit song,Imagine,Cruel summer,Vogue,Imagine,14,7,Keep,
533,music,French singer and cultural icon,Edith Piaf,Nicolas Sarkozy,Asterix,Edith Piaf,31,10,Light edit,"distractor swap: option2 ""Nicolas Sarkozy"" → ""Audrey Tautou"" (Sarkozy is a fading 2007–2012 political reference; Tautou is the cleaner French cultural icon — Amélie 2001 brand-permanent, unambiguously not a singer, no awkward Piaf overlap)"
534,music,a 90s hit song,One,Let It B,Imagine,One,14,3,Keep,
535,music,a 60s hit song,She Loves You,She Loves It,Who Loves Her,She Loves You,14,13,Keep,
536,music,a 60s hit song,It's Not Unusual,Usually Not,Nothing Usual,It's Not Unusual,14,16,Keep,
537,music,a song by Frank Sinatra,My Way,Let's Go New York,"Whatever, yo",My Way,23,6,Keep,
538,music,a song by Madonna,Vogue,Let It Be,Bad,Vogue,17,5,Keep,
539,music,a song by Michael Jackson,Beat It,Mad World,Pity Yourself,Beat It,25,7,Keep,
540,music,a song by Elvis Presley,Heartbreak Hotel,Satistfaction,Respect,Heartbreak Hotel,23,16,Light edit,"typo: distractor option2 ""Satistfaction"" → ""Satisfaction"""
541,music,a member of Dave Matthews Band,Dave Matthews,Dave Grohl,Dave Mustaine,Dave Matthews,30,13,Keep,
542,music,a song by The Beatles,Hey Jude,Hey Baby,Hey Girl,Hey Jude,21,8,Keep,
543,music,a song by Justin Bieber,Never Say Never,Burn It All,Bad Pop,Never Say Never,23,15,Light edit,"concept-replace: prompt ""a song by Justin Bieber"" → ""a song by Taylor Swift""; answer ""Never Say Never"" → ""Shake It Off"" (durability — Swift more durable than Bieber, Shake It Off is her most brand-permanent track)"
544,music,a song by Queen,Killer Queen,Conformist Rhapsody,We Rock It,Killer Queen,15,12,Keep,
545,music,a song by Abba,Dancing Queen,Mia Mia,One of Them,Dancing Queen,14,13,Keep,
546,music,a song by Pink Floyd,Money,Lies,Happiness,Money,20,5,Keep,
547,music,a song by Metallica,Fade to Black,Gears of War,Madhouse,Fade to Black,19,13,Keep,
548,music,lead vocalist of Queen,Freddie Mercury,Dave Mustaine,Barry Gibb,Freddie Mercury,22,15,Keep,
549,music,lead vocalist of Led Zeppelin,Robert Plant,Jenny Page,John Bonham,Robert Plant,29,12,Keep,
550,music,lead vocalist of Blondie,Debbie Harry,Justin Bieber,Madonna,Debbie Harry,24,12,Keep,
551,music,famous jazz trumpeter,Miles Davis,Ella Fitzgerald,Max Roach,Miles Davis,21,11,Keep,
552,music,famous jazz singer,Etta James,Etta Candy,Etta May,Etta James,18,10,Keep,
553,music,famous jazz singer,Ella Fitzgerald,Debbie Harry,Chad Kroeger,Ella Fitzgerald,18,15,Keep,
554,music,famous jazz singer,Louis Armstrong,Luiz Armstrong,Louise Armstrong,Louis Armstrong,18,15,Keep,
555,music,"he composed ""The Nutcracker""",P. Tchaikovsky,F. Mercury,J. Haydn,P. Tchaikovsky,28,14,Keep,
556,music,famous rapper,Jay Z,May C,Kay T,Jay Z,13,5,Light edit,"punctuation: hyphenate all options for visual consistency — answer ""Jay Z"" → ""Jay-Z"" (canonical stage name); distractors ""May C""/""Kay T"" → ""May-C""/""Kay-T"" (wordplay rhymes)"
557,music,famous guitarist,Eric Clapton,Richard Roll,Lars Ulrich,Eric Clapton,16,12,Keep,
558,music,famous guitarist,David Gilmour,David Beckham,David Hume,David Gilmour,16,13,Keep,
559,music,famous guitarist,Jimmy Page,Lars Umlaut,Johnny Napalm,Jimmy Page,16,10,Keep,
560,music,British rock band,Oasis,Desert,Water,Oasis,17,5,Keep,
561,music,Canadian rock band,Nickelback,The Worsts,Burn 'em,Nickelback,18,10,Keep,
562,music,German rock band,Rammstein,Rich Rohl,Madson,Rammstein,16,9,Keep,
563,music,Australian rock band,AC/DC,DC/AC,AD/HD,AC/DC,20,5,Keep,
564,music,British singer,Chris Martin,D. Hubbins,J. Clement,Chris Martin,14,12,Keep,
565,music,part of the Woodstock '69 line-up,Santana,Led zeppelin,The beatles,Santana,33,7,Light edit,"capitalize distractors: option2 ""Led zeppelin"" → ""Led Zeppelin""; option3 ""The beatles"" → ""The Beatles"""
566,music,"he composed ""The Barber of Seville""",G. Rossini,I. Padrino,M. Donna,G. Rossini,35,10,Keep,
567,music,an album by The Beatles,The Beatles,Black Hole,New Grounds,The Beatles,23,11,Keep,
568,music,an album by Pearl Jam,Ten,Book of Faces,Your Space,Ten,21,3,Keep,
569,music,"""Hotel California"" is a song by ___",Eagles,Bee Gees,The Beach Boys,Eagles,35,6,Keep,
570,music,"""Bohemian Rhapsody"" is a song by ___",Queen,Kings of Leon,Megadeth,Queen,36,5,Keep,
571,music,"""Smells Like Teen Spirit"" is a song by ___",Nirvana,Van halen,Bon Jovi,Nirvana,42,7,Light edit,"capitalize distractor: option2 ""Van halen"" → ""Van Halen"""
572,music,"""London Calling"" is a song by ___",The Clash,The Police,The Telephone,The Clash,33,9,Keep,
573,music,famous J-Pop artist,Hikaru Utada,Ichiro Suziki,Hayao Miyazaki,Hikaru Utada,19,12,Light edit,"typo: distractor option2 ""Ichiro Suziki"" → ""Ichiro Suzuki"""
574,music,"""No Woman No Cry"" is a song by ___",Bob Marley,Buddy Holly,Aerosmith,Bob Marley,34,10,Light edit,"punctuation: prompt title ""No Woman No Cry"" → ""No Woman, No Cry"" (canonical comma)"
575,music,"""Born To Be Wild"" is a song by ___",Steppenwolf,Jimi Hendrix,Johnny Cash,Steppenwolf,34,11,Keep,
576,movies,won an Oscar in 1998,Gywneth Paltrow,Meryl Streep,Tom Hanks,Gywneth Paltrow,20,15,Light edit,"typo: answer ""Gywneth Paltrow"" → ""Gwyneth Paltrow"""
577,movies,won an Oscar in 2005,George Clooney,Joaquin Phoenix,Felicity Huffman,George Clooney,20,14,Keep,
578,movies,won an Oscar in 1966,Elizabeth Taylor,Jack Nicholson,Michael Caine,Elizabeth Taylor,20,16,Keep,
579,movies,won an Oscar in 2008,Sean Penn,Brad Pitt,Meryl Streep,Sean Penn,20,9,Keep,
580,movies,won the Best Actor Oscar in 1975,Jack Nicholson,Al Pacino,Yul Brynner,Jack Nicholson,32,14,Keep,
581,movies,won the Best Actor Oscar in 1954,Marlon Brando,Al Pacino,Gene Hackman,Marlon Brando,32,13,Keep,
582,movies,starred in The Lord Of The Rings,Elijah Wood,Meryl Streep,Ron Perlman,Elijah Wood,32,11,Keep,
583,movies,never played Superman,Brad Pitt,Christopher Reeve,Brandon Routh,Brad Pitt,21,9,Keep,
584,movies,starred along Tom Cruise,Val Kilmer,Al Pacino,Tommy Lee Jones,Val Kilmer,24,10,Keep,
585,movies,starred along Anthony Hopkins,Jodie Foster,Wesley Snipes,Kevin Bacon,Jodie Foster,29,12,Keep,
586,movies,starred along Julia Roberts,Richard Gere,Chris Rock,Johnny Depp,Richard Gere,27,12,Keep,
587,movies,fictional character also known as Smeagol,Gollum,Precious Sam,Darth Frodo,Gollum,41,6,Keep,
588,movies,not a Sith Lord,Darth Saber,Darth Vader,Darth Maul,Darth Saber,15,11,Keep,
589,movies,a Sith Lord,Darth Sidious,Darth Mouth,Darth Thrash,Darth Sidious,11,13,Keep,
590,movies,never played James Bond,Michael Jackson,Sean Connery,Pierce Brosnon,Michael Jackson,23,15,Light edit,"typo: distractor option3 ""Pierce Brosnon"" → ""Pierce Brosnan"""
591,movies,fictional robot from the future,The Terminator,Vin Diesel,Casper,The Terminator,31,14,Keep,
592,movies,fat kid in South Park,Eric Cartman,Big Bones,Bart Simpson,Eric Cartman,21,12,Keep,
593,movies,Homer's last name in The Simpsons,Simpson,Simpsons,Simpleton,Simpson,33,7,Keep,
594,movies,Woody Allen wrote and directed ___,Annie Hall,Antz,Animal House,Annie Hall,34,10,Keep,
595,movies,never won an Oscar,Will Smith,Meryl Streep,Cuba Gooding Jr.,Will Smith,18,10,Light edit,"concept-replace: answer ""Will Smith"" → ""Tom Cruise"" (Will Smith won Best Actor 2022 for King Richard, so ""never won an Oscar"" answer is now wrong; Tom Cruise is the most brand-recognizable still-Oscarless actor)"
596,movies,The Terminator tries to terminate ___,John Connor,John Nash,Edward Cullen,John Connor,37,11,Keep,
597,movies,played Edward Cullen in Twilight,R. Pattinson,B. Shame,U. Madbrough,R. Pattinson,32,12,Keep,
598,movies,Rocky II takes place in ___,Philadelphia,Moscow,Rocky Mountains,Philadelphia,27,12,Keep,
599,movies,Don Corleone's son in The Godfather,Michael,Sergio,Christian,Michael,35,7,Keep,
600,movies,his sword is called Sting,B. Baggins,E. Cullen,J. Bieber,B. Baggins,25,10,Keep,
601,movies,Marcellus Wallace looks like ___,Marcellus Wallace,a lady,Vincent Vega,Marcellus Wallace,32,17,Keep,
602,movies,pick the better actress,Madonna,Jack Nicholson,Al Pacino,Madonna,23,7,Keep,
603,movies,Bruce Wayne is ___,Batman,Hulk,Superman,Batman,18,6,Keep,
604,movies,Clark Kent is ___,Superman,Batman,Aquaman,Superman,17,8,Keep,
605,movies,Luke Skywalker's grandfather's son,Darth Vader,Palpatine,C3P0,Darth Vader,34,11,Keep,
606,math,a minute has ___ seconds,60,10,100,60,24,2,Keep,
607,math,four times twenty plus ten,90,80,110,90,26,2,Keep,
608,math,4+20-14,10,8,14,10,7,2,Keep,
609,math,five times zero times two,0,2,10,0,25,1,Keep,
610,math,4 is ___ times 2,2,4,1,2,16,1,Keep,
611,math,four squared plus four,20,64,48,20,22,2,Keep,
612,math,negative five plus nine,4,-14,-4,4,23,1,Keep,
